SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
160;XHOLD_CFNNTLTL;BIST HOLDING VE YATIRIM GETIRI;BIST HOLD. AND INVESTMENT RETURN;TRY;06/01/2023;6760.07
161;XHOLD_CFNNTLUS;BIST HOLDING VE YATIRIM GETIRI (ABD DOLARI);BIST HOLD. AND INVESTMENT RETURN (USD);USD;06/01/2023;2098.02
162;XHOLD_CFNNTLER;BIST HOLDING VE YATIRIM GETIRI (EURO);BIST HOLD. AND INVESTMENT RETURN (EURO);EUR;06/01/2023;2339.79
163;XGMYO_CFNNTLTL;BIST GAYRIMENKUL Y.O. GETIRI;BIST REAL EST. INV. TRUSTS RETURN;TRY;06/01/2023;3955.62
164;XGMYO_CFNNTLUS;BIST GAYRIMENKUL Y.O. GETIRI (ABD DOLARI);BIST REAL EST. INV. TRUSTS RETURN (USD);USD;06/01/2023;1227.65
165;XGMYO_CFNNTLER;BIST GAYRIMENKUL Y.O. GETIRI (EURO);BIST REAL EST. INV. TRUSTS RETURN (EURO);EUR;06/01/2023;1369.12
166;XAKUR_CFNNTLTL;BIST ARACI KURUMLAR GETIRI;BIST BROKERAGE HOUSES RETURN;TRY;06/01/2023;22519.09
167;XAKUR_CFNNTLUS;BIST ARACI KURUMLAR GETIRI (ABD DOLARI);BIST BROKERAGE HOUSES RETURN (USD);USD;06/01/2023;6988.92
168;XAKUR_CFNNTLER;BIST ARACI KURUMLAR GETIRI (EURO);BIST BROKERAGE HOUSES RETURN (EURO);EUR;06/01/2023;7794.3
169;XYORT_CFNNTLTL;BIST MENKUL KIYM. Y.O. GETIRI;BIST INVESTMENT TRUSTS RETURN;TRY;06/01/2023;11995.9
170;XYORT_CFNNTLUS;BIST MENKUL KIYM. Y.O. GETIRI (ABD DOLARI);BIST INVESTMENT TRUSTS RETURN (USD);USD;06/01/2023;3722.99
171;XYORT_CFNNTLER;BIST MENKUL KIYM. Y.O. GETIRI (EURO);BIST INVESTMENT TRUSTS RETURN (EURO);EUR;06/01/2023;4152.02
172;XUTEK_CFNNTLTL;BIST TEKNOLOJI GETIRI;BIST TECHNOLOGY RETURN;TRY;06/01/2023;9229.43
173;XUTEK_CFNNTLUS;BIST TEKNOLOJI GETIRI (ABD DOLARI);BIST TECHNOLOGY RETURN (USD);USD;06/01/2023;2864.4
174;XUTEK_CFNNTLER;BIST TEKNOLOJI GETIRI (EURO);BIST TECHNOLOGY RETURN (EURO);EUR;06/01/2023;3194.49
175;XTKJS_CFCNTLTL;BIST TEKNOLOJI AGIRLIK SINIRLAMALI GETIRI;BIST TECHNOLOGY CAPPED RETURN;TRY;06/01/2023;13002.11
